Player,Team,Camera shake,FOV,Height,Angle,Distance,Stiffness,Swivel speed,Transition speed,Ball camera,Last updated
DaSnakesnake,LMIX,No,110,100,-3.0,270,0.35,4.40,1.40,Toggle,2024-06-01
dabbe,FF,No,110,100,-3.0,270,0.35,5.00,1.40,Toggle,2025-03-02
Dadooh,,No,110,110,-3.0,270,0.35,4.70,1.40,Toggle,2021-05-09
daffy,,No,110,90,-5.0,270,0.45,5.60,1.00,Toggle,2023-01-23
Daisu,,No,110,100,-5.0,270,0.40,3.50,1.20,Toggle,2022-09-17
Dalton,UTD,No,110,100,-5.0,270,0.40,4.50,1.50,Toggle,2021-05-06
dan,,No,110,110,-4.0,250,0.40,4.70,1.20,Toggle,2022-04-27
Daniel,NRG,No,110,90,-6.0,260,0.55,4.70,1.20,Toggle,2025-10-24
Dansku,DAP,No,110,110,-3,270,0.40,10.0,1.20,Toggle,2021-12-04
Dappluto,OVER,No,109,90,-4.0,270,0.45,5.60,1.70,Toggle,2022-10-27
Dappur,,No,110,100,-4.0,270,0.45,6.00,1.20,Toggle,2021-07-22
Dapz,,No,110,100,-4.0,290,0.65,8.40,1.30,Toggle,2022-05-30
Dark,CLDM,No,110,110,-3.0,290,0.40,5.00,1.30,Toggle,2021-07-01
Dark(?),,No,110,90,-5.0,270,0.40,10.00,1.50,Toggle,2025-05-26
darklight,,No,110,90,-5.0,270,0.40,8.00,1.60,Toggle,2023-08-08
Darou,,No,110,90,-6.0,270,0.40,5.00,1.20,Toggle,2022-04-19
Darth.,,No,108,100,-3.0,270,0.35,10.00,1.70,Toggle,2023-06-11
Data,,No,110,110,-3.0,280,0.45,4.70,1.20,Toggle,2021-05-09
davinsano,TS,No,109,100,-3.0,270,0.45,6.20,1.30,Toggle,2022-10-17
Davitrox,SHI,No,110,100,-2.0,260,0.45,4.20,2.00,Toggle,2021-12-15
davoof,PMR,No,110,90,-4.0,270,0.40,7.00,1.40,Toggle,2021-03-25
dayyshift,FB,No,110,100,-4.0,270,0.40,7.40,1.70,Toggle,2025-02-16
Daze,,No,110,100,-2.0,250,0.55,6.00,1.20,Toggle,2021-05-09
Dead-Monster,20S,No,110,100,-4.0,270,0.40,10.00,1.30,Toggle,2022-08-18
Declan,,No,110,100,-3.0,270,0.35,4.70,1.30,Toggle,2022-10-17
Decxp,SU,No,110,90,-3.0,270,0.40,5.40,1.10,Toggle,2023-10-20
Deevo,,No,109,90,-4.0,270,0.45,8.00,1.50,Toggle,2023-03-13
dvo,,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2025-05-18
defzzy,,No,110,90,-4.0,260,0.45,5.10,1.50,Toggle,2021-07-02
Del1very.,MCB,No,110,100,-3.0,270,0.35,7.20,1.40,Toggle,2023-08-28
delta,BOLI,No,110,110,-3.0,270,0.45,4.10,1.00,Toggle,2022-10-21
Demo,,No,110,100,-4.0,270,0.40,4.20,1.80,Toggle,2021-07-15
Demonator,UCF,No,110,90,-4.0,250,0.55,7.00,1.30,Toggle,2021-05-09
deprvty,,No,110,100,-4.0,270,0.70,7.00,1.60,Toggle,2021-07-13
devan,GMU,No,110,100,-4.0,260,0.60,5.50,1.00,Toggle,2023-03-28
Dezu,,No,110,90,-4.0,270,0.40,6,1.40,Toggle,2021-06-11
diaz,SHM,No,110,90,-5.0,270,0.35,5.50,1.40,Toggle,2025-06-25
diaz,,No,110,100,-3.0,270,0.35,4.70,1.20,Toggle,2025-06-28
Didris,,No,110,100,-3.0,270,0.45,5.00,1.00,Toggle,2021-05-09
Dino,,No,110,100,-5.0,270,0.40,5.00,1.00,Toggle,2021-03-19
dixa,CLDA,No,110,90,-3.0,240,0.45,5.50,1.40,Toggle,2025-07-27
DmentZa,,No,110,90,-4.0,270,0.40,4.50,1.30,Toggle,2021-03-29
dno.,AFW,No,110,100,-5.0,280,0.50,6.00,1.40,Toggle,2024-03-19
Dogu,,No,90,110,-3.0,260,0.30,2.50,1.00,Toggle,2021-05-09
doomayn,TOTS,No,110,100,-4.0,270,0.35,7.20,1.20,Toggle,2021-12-10
Doomsee,,No,105,110,-4.0,270,0.60,10.00,1.10,Toggle,2021-05-09
Dorito,FLR,No,110,100,-4.0,270,0.40,4.50,1.40,Toggle,2024-10-20
DrKnown,QAD,No,110,100,-3.0,270,0.45,5.00,1.50,Toggle,2025-01-11
dralii,FLCN,No,110,90,-6.0,260,0.55,4.20,1.40,Toggle,2025-08-07
Draz,,No,110,80,-6.0,290,0.55,5.00,1.50,Toggle,2025-04-01
dreaz,,No,110,100,-3.0,270,0.40,8.00,1.20,Toggle,2023-04-28
Dripinho,SU,No,110,100,-4,270,0.45,4.00,1.20,Toggle,2023-04-20
Drippay,,No,110,110,-3.0,280,0.50,5.00,1.00,Toggle,2021-05-09
drku.,,No,110,90,-5,270,0.35,4.70,1.80,Toggle,2025-04-22
droppz,CHR,No,109,100,-3.0,270,0.35,6.00,1.80,Toggle,2025-05-30
Druee,,No,110,100,-3.0,270,0.45,4.50,1.30,Toggle,2022-07-23
DRUFINHO,TS,No,110,100,-3.0,280,0.40,10.00,2.00,Toggle,2021-08-12
Duck,ACE,No,110,110,-3.0,280,0.45,5.50,1.00,Toggle,2020-11-24
Duckz,,No,110,90,-4.0,270,0.40,7.00,1.20,Toggle,2024-08-17
Duis,,No,110,130,-5.0,270,0.45,4.50,1.20,Toggle,2021-05-09
Duklaz,,No,110,100,-4.0,270,0.40,3.80,1.40,Toggle,2023-07-03
durtho,BSU,No,110,100,-5.0,270,0.04,4.70,1.20,Toggle,2020-08-13
Duskippy,,No,110,90,-4.0,290,0.40,4.50,1.20,Toggle,2021-05-10
Dying,,No,110,100,-4.0,270,0.35,7.00,1.30,Toggle,2022-10-23
ELMP,,No,90,110,-3.0,260,0.30,2.50,1.00,Hold,2021-05-10
Easel,,No,110,100,-4.0,270,0.80,6.20,1.60,Toggle,2021-07-02
Easy,JUMP,No,110,100,-5.0,270,0.40,5.00,1.20,Toggle,2021-08-10
echo.,KU,No,109,90,-4.0,270,0.45,5.50,1.60,Toggle,2023-02-01
Eclispe,,No,110,90,-5.0,270,0.35,4.20,1.50,Toggle,2024-05-06
eco,GB,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2025-10-24
edu,MRLS,No,110,100,-5.0,270,0.45,10.00,2.00,Toggle,2022-04-03
eekso,GK,No,109,100,-3.0,270,0.45,3.30,1.30,Toggle,2025-01-19
ejby,2D1B,No,110,100,-3.0,290,0.15,5.50,1.00,Toggle,2022-04-27
ElOmarMaton,,No,110,100,-4.0,270,0.40,4.20,1.50,Toggle,2021-11-13
EleXiT.,ATZE,No,110,110,-5.0,270,1.00,5.50,1.70,Toggle,2022-12-25
electro,MMFS,No,110,100,-5.0,270,0.45,4.70,1.30,Toggle,2021-10-13
EliakimZA,LFO,No,110,100,-4.0,230,0.50,5.00,1.50,Toggle,2021-11-02
ellusive,,No,110,100,-5.0,280,0.65,3.00,1.00,Toggle,2020-08-19
EmilVald,ÞÓR,No,110,90,-5.0,270,0.35,7.00,1.30,Toggle,2023-05-19
Emma,HBS,No,109,100,-4.0,260,0.45,4.70,1.20,Toggle,2022-11-26
emre,,No,110,90,-4.0,260,0.45,4.70,1.30,Toggle,2023-03-13
EmsJ,,No,110,90,-4.0,260,0.45,4.70,1.20,Toggle,2022-12-04
energizer,AFW,No,110,100,-3.0,270,0.35,6.50,1.10,Toggle,2024-02-17
Enforcer,,No,110,100,-4.0,270,0.30,4.20,1.50,Toggle,2024-11-24
Enlid,,No,108,110,-3.0,260,0.65,4.00,1.00,Toggle,2021-08-06
ErdemPie_,,No,110,100,-3.0,260,0.5,6.5,1.1,Toggle,2022-04-27
Eris,SHM,No,110,90,-4.0,270,0.40,3.00,1.10,Toggle,2021-04-08
Erv,YY,No,110,90,-5.0,270,0.35,5.10,1.50,Toggle,2025-05-09
Espeon,,No,110,110,-5.0,280,0.70,7.50,1.50,Toggle,2019-08-09
Esperia,,No,110,90,-4.0,270,0.40,6.00,1.90,Toggle,2023-03-26
Ethxn,,No,110,100,-3.00,270,0.30,4.00,1.50,Toggle,2023-05-23
euxsy,,No,110,90,-5.0,270,0.35,6.00,1.80,Toggle,2025-02-23
Evample,PLS,No,110,100,-3.0,280,0.30,4.00,1.00,Toggle,2025-10-06
Even,,No,110,100,-5.0,270,0.40,2.00,1.50,Toggle,2022-02-13
Ever,SEL,No,109,100,-3.0,270,0.35,8.90,1.90,Toggle,2025-01-05
EviIL42,,No,110,100,-5.0,270,0.40,4.40,1.40,Toggle,2022-04-26
Evoh,BOYS,No,110,100,-3.0,270,0.35,4.20,1.00,Toggle,2025-07-10
Excelst,AFCE,No,110,100,-5.0,270,0.40,5.60,1.20,Toggle,2022-10-8
ExoTiiK,VIT,No,110,110,-3.0,270,0.50,4.00,1.00,Toggle,2024-09-22
Exorari,COLD,No,110,90,-2.0,270,0.45,7.00,1.70,Toggle,2023-08-08
Express,,No,110,100,-4.0,260,0.50,4.00,1.30,Toggle,2020-10-28
extendo,,No,110,100,-3.0,270,0.40,10.00,1.50,Toggle,2022-04-27
EyeIgnite,,No,109,100,-3.0,270,0.35,6.00,1.00,Toggle,2020-02-18
FNSi,RNDS,No,110,100,-3.0,270,0.35,2.50,1.00,Toggle,2025-01-10
Fabso,SCC,No,110,100,-3.0,280,0.35,2.50,1.10,Toggle,2023-06-04
Fades,TSRN,No,110,90,-4.0,270,0.45,4.70,1.40,Toggle,2022-10-02
Fahad,,No,110,100,-3.0,260,0.50,9.80,1.30,Toggle,2021-10-17
Fahad506,FAN,No,110,90,-5.0,270,0.35,5.10,1.50,Toggle,2025-01-07
Fairy Peak!,ST,No,110,100,-3.0,270,0.35,4.70,1.40,Toggle,2023-12-26
Faisal,,No,110,100,-3.0,270,0.40,7.20,1.20,Toggle,2021-10-17
Fal,UA,No,109,100,-3.0,270,0.45,7.10,1.20,Toggle,2022-06-02
Falss,FC,No,110,100,-5.0,270,0.40,4.70,1.20,Toggle,2020-04-15
Fast,LSF,No,110,100,-3.0,270,0.35,8.40,1.20,Toggle,2024-05-19
Faykow.,,No,110,100,-3.0,260,0.40,3.00,1.20,Toggle,2019-04-29
Fbi,OFF,No,110,100,-5.0,280,0.55,4.50,1.80,Toggle,2023-05-04
Fearless,,No,110,110,-4.0,280,0.35,2.70,1.30,Toggle,2020-05-08
Fefe,,No,110,90,-3.0,240,0.55,10.00,1.60,Toggle,2023-03-05
Fera,,No,110,100,-3.0,270,0.35,4.00,1.00,Toggle,2025-03-17
Fever,WC,No,110,100,-5.0,270,0.40,8.10,1.30,Toggle,2024-08-09
Fibérr,,No,110,100,-3.0,270,0.45,10.00,1.50,Toggle,2025-02-16
Ficeo,NDR,No,110,90,-5.0,270,0.35,4.00,1.20,Toggle,2025-10-22
Firas,,No,110,90,-4.0,260,0.40,5.10,1.00,Toggle,2020-07-08
fire,,No,110,90,-5.0,270,0.50,6.00,1.00,Toggle,2019-10-06
FirefoxD,LUK,No,110,100,-5.0,270,0.40,10.00,1.50,Toggle,2021-10-01
FiremanJonas,MOON,No,108,110,-3.0,260,0.65,7.80,1.70,Toggle,2023-03-16
Firstkiller,SR,No,110,90,-5.0,270,0.35,6.90,1.20,Toggle,2025-02-03
fishhr,TWT,No,110,90,-3.0,250,0.70,7.10,1.10,Toggle,2020-08-13
Fiv3Up,UA-B,No,110,100,-3.0,270,0.35,7.50,1.50,Toggle,2025-01-17
FkToR,POD,No,110,90,-4.0,270,0.35,4.20,1.20,Toggle,2023-05-01
Flakes,,No,107,100,-5.0,310,1.00,8.00,1.50,Toggle,2023-12-15
Flarke,,No,110,100,-4.0,270,0.40,4.20,1.40,Toggle,2019-02-16
Flasheeyy,,No,110,90,-3.0,230,0.60,9.00,1.70,Toggle,2021-12-30
fleikoo,SCL,No,110,90,-5.0,270,0.35,7.50,1.50,Toggle,2023-07-01
flexx,GOD,No,110,110,-3.0,240,0.60,6.00,1.00,Toggle,2024-09-18
Flitz,FORT,No,110,100,-3.0,270,0.35,6.00,1.60,Toggle,2025-02-23
Flo,CLDA,No,110,90,-3.0,240,0.45,5.50,1.60,Toggle,2025-07-27
Forece,WOO,No,110,90,-5.0,270,0.35,7.00,1.60,Toggle,2025-02-17
Forky,SNOW,No,110,100,-4.0,270,0.45,3.90,1.50,Toggle,2023-12-14
Fortymula7,,No,109,100,-4.0,270,0.50,6.00,1.40,Toggle,2022-04-27
Foxy,,No,110,100,-4.0,270,0.45,3.00,1.40,Toggle,2021-08-09
Frag,,No,110,100,-4.0,270,0.50,4.70,1.20,Toggle,2020-08-19
Frenchie,ZORN,No,109,90,-4.0,270,0.40,3.50,1.50,Toggle,2025-02-23
Frenzyy,,No,110,100,-5.0,270,0.40,4.70,1.20,Toggle,2021-03-19
Freshness,ACE,No,110,100,-4.0,270,0.50,4.20,1.00,Toggle,2020-07-07
Friction,UNT,No,110,100,-4.0,270,0.45,4.30,1.00,Toggle,2021-10-16
Friis,,No,110,100,-3.0,280,0.25,5.00,1.50,Toggle,2019-07-18
Frostbite,MIZZ,No,110,80,-5.0,280,0.40,5.00,1.50,Toggle,2025-02-23
frosty,FUT,No,110,90,-3.0,270,0.40,7.00,1.60,Toggle,2025-06-15
Froze,SHU,No,110,100,-6.0,270,0.50,10.00,1.60,Toggle,2023-01-24
Fsol,GK,No,110,90,-4.0,270,0.45,6.50,1.50,Toggle,2024-02-02
furane,,No,110,100,-5.0,270,0.40,10.00,1.40,Toggle,2025-05-14
furlashh,,No,110,100,-3.0,270,0.45,4.00,1.40,Toggle,2024-01-03
Fusion77,,No,110,90,-5.0,260,0.45,3.90,1.40,Toggle,2025-02-17
Fusure,,No,109,100,-3.0,270,0.50,7.50,1.00,Toggle,2022-11-26
GCR710,,No,110,110,-3.0,280,0.45,6.00,1.20,Toggle,2019-04-27
gReazymeister,,No,110,90,-4.0,260,0.70,9.90,1.70,Toggle,2020-03-08
Gadaira,GGF,No,110,100,-4.0,270,0.40,4.00,1.50,Toggle,2025-04-25
Galaxy,WRG,No,110,90,-4.0,270,0.40,5.00,1.70,Toggle,2023-12-12
Gambit,,No,110,90,-4.0,270,0.40,2.00,1.00,Hold,2020-09-20
Gamble,123,No,110,100,-3.0,270,0.35,6.10,1.80,Toggle,2025-04-26
Gawfs,,No,110,90,-4.0,270,0.35,6.00,1.70,Toggle,2024-05-15
gear,TRME,No,110,100,-3.0,270,0.4,6.90,1.50,Toggle,2023-05-30
Gekk,,No,110,100,-5.0,270,0.35,4.20,1.10,Toggle,2021-09-29
Gengar,WMU,No,110,200,-3.0,400,1.00,10.00,1.00,Toggle,2021-02-10
Genocop,,No,110,100,-3.0,270,0.50,2.50,1.00,Toggle,2020-09-05
Ghaazi,ROC,No,110,100,-5.0,270,0.40,10.00,1.80,Toggle,2025-01-19
ghost.,INVB,No,110,100,-5.0,270,0.25,5.00,1.60,Toggle,2025-05-05
Ghost,UTD,No,110,100,-3.0,270,0.45,8.00,1.40,Toggle,2021-06-06
Ghost,,No,110,100,-3.0,270,0.50,5.00,1.00,Toggle,2020-03-25
Ghost.,,No,109,100,-4.0,270,0.40,10.00,1.20,Toggle,2022-01-13
Gian,,No,110,110,-6.0,270,0.70,7.90,1.80,Toggle,2020-04-16
Gib,,No,110,100,-4.0,270,0.40,10.0,1.30,Toggle,2022-04-27
Gil,BSU,No,110,90,-4.0,200,0.45,4.50,2.00,Toggle,2023-03-11
gimmick,,No,110,100,-3.0,270,0.35,10.00,1.00,Toggle,2023-03-03
GiuK,,No,110,100,-3.00,270,0.35,5.00,2.00,Toggle,2024-07-01
Glfty,STMK,No,110,90,-5.0,270,0.50,6.10,1.80,Toggle,2024-02-16
Glowz,,No,110,100,-4.0,280,0.55,5.00,1.20,Toggle,2022-02-12
gman,ZOO,No,110,100,-4.0,270,0.55,5.40,1.40,Toggle,2025-05-07
Gnagflow06,BPX,No,109,100,-3.0,270,0.55,3.00,1.30,Toggle,2024-10-22
Godsmilla,,No,110,90,-4.0,270,0.50,1.40,1.20,Toggle,2021-04-20
Gogi.,MTK,No,110,100,-5.0,260,0.70,3.50,1.50,Toggle,2022-12-09
GoldNiNja,,No,110,100,-5.0,270,0.30,8.00,1.50,Toggle,2023-10-26
Gomb,,No,110,100,-5.0,270,0.35,4.10,1.00,Toggle,2022-03-31
Gon,,No,110,110,-2.0,270,0.40,6.00,1.00,Toggle,2021-10-29
Gonk,,No,110,110,-3.0,270,0.70,3.20,1.40,Toggle,2020-12-22
gorocksgo,,No,110,100,-3.0,270,0.40,7.10,1.10,Toggle,2020-08-19
Gramma,NOE,No,110,100,-3.0,270,0.40,4.00,1.20,Toggle,2024-08-08
Greeen,RR,No,110,90,-3.0,270,0.40,6.80,1.20,Toggle,2024-08-27
grills,,No,110,100,-4.0,270,0.50,6.00,1.40,Toggle,2020-07-07
growlii,,No,110,100,-3.0,240,0.70,6.00,1.70,Toggle,2023-06-14
gske,CCS,No,110,90,-4.0,270,0.4,5.00,1.30,Toggle,2022-11-07
guh,STEP,No,110,100,-3.0,270,0.35,1.60,1.60,Toggle,2025-06-15
gunz,,No,110,100,-3.0,270,0.45,10.00,1.30,Toggle,2023-05-27
gus,,No,110,90,-5.0,270,0.35,7.00,1.40,Toggle,2025-02-16
Gyro.,,No,110,100,-3.0,270,0.35,7.00,1.30,Toggle,2025-01-19
Gyzow,SQ,No,110,110,-4.0,260,1.00,4.90,1.40,Toggle,2021-10-20
HMO,YY,No,110,100,-5.0,270,0.40,4.00,1.20,Toggle,2022-10-06
Haberkamper,LUK,No,110,100,-3.0,270,0.40,4.20,1.20,Toggle,2021-08-13
Halcyon,,No,110,110,-3.0,270,0.35,2.50,1.00,Toggle,2018-09-12
Happymeal,,No,110,110,-4.0,260,0.40,5.00,1.50,Toggle,2020-11-08
Hargun,,No,110,100,-4.0,260,0.45,5.80,1.40,Toggle,2021-04-13
Hartmann,SNT,No,110,110,-3.0,270,0.40,4.20,1.70,Toggle,2022-04-24
Hasyim,NDR,No,110,90,-5.0,270,0.50,6.00,1.00,Toggle,2021-06-25
Hatem,OFF,No,110,90,-3.0,270,0.35,9.00,1.20,Toggle,2021-11-12
Hato,,No,110,90,-4.0,270,0.45,7.00,1.30,Toggle,2020-08-19
Haven,DSQ,No,110,100,-3.0,270,0.35,6.00,1.20,Toggle,2023-02-25
Hawk,SKRM,No,110,100,-2.0,240,0.60,4.50,1.20,Toggle,2024-07-18
hazo,,No,109,90,-4.0,270,0.45,6.00,1.70,Toggle,2025-01-19
hec,,No,110,100,-5.0,270,0.40,7.20,1.10,Toggle,2021-05-30
Helix,MOM,No,110,100,-3.0,270,0.35,4.70,1.60,Toggle,2025-02-17
HepsKid,,No,110,90,-4.0,270,0.45,7.40,1.40,Toggle,2020-06-24
Hero,ORYX,No,110,100,-3.0,280,0.35,10.00,1.40,Toggle,2023-03-12
hesi,SNOW,No,110,100,-3.0,270,0.50,8.00,1.10,Toggle,2023-10-08
Hexic.,,No,110,90,-3.0,270,0.40,10.00,1.50,Toggle,2025-04-21
hibbs,,No,110,100,-5.0,270,0.40,10.00,1.30,Toggle,2022-04-24
Hireo,,No,108,100,-4.0,270,0.5,6.00,1.50,Toggle,2022-01-02
Hisoka,ESP,No,110,100,-4.0,270,0.40,6.00,1.40,Toggle,2022-12-25
hntr,,No,110,100,-3.0,270,0.40,10.00,1.50,Toggle,2025-10-07
hockE,NU,No,110,100,-3.0,270,0.30,4.00,1.50,Toggle,2025-01-17
hockser,BOYS,No,110,100,-3.0,270,0.35,3.00,1.60,Toggle,2025-01-19
hoei,,No,110,100,-4.0,260,0.45,5.50,1.50,Toggle,2023-04-30
Hooups,MYRE,No,110,110,-3.0,270,0.15,3.00,1.20,Toggle,2022-03-20
HotWheelsSid,,No,110,110,-3.0,280,0.40,5.00,1.00,Toggle,2025-10-01
Hughesy,ZORN,No,110,90,-5.0,270,0.60,7.00,1.60,Toggle,2020-11-19
hxll0.,SNZ,No,110,100,-4.0,270,0.45,4.30,1.10,Toggle,2025-01-10
Hyderr,,No,109,90,-3.0,260,0.20,3.00,1.20,Toggle,2022-04-27
Hyrole,BPX,No,110,100,-4.0,270,0.40,7.50,1.70,Toggle,2023-06-29
hyziix.,,No,110,90,-4.0,260,0.45,7.50,2.00,Toggle,2025-05-22
iRicky01,,No,110,100,-5.0,270,0.40,6.00,1.00,Toggle,2022-04-27
iSL6Nii,,No,110,90,-5.0,270,0.40,5.10,1.30,Toggle,2025-05-07
iSharrieff,RHG,No,110,90,-4.0,270,0.40,10.00,1.30,Toggle,2021-05-29
ianpinheiro,OVER,No,110,100,-3.0,270,0.50,5.00,1.20,Toggle,2025-05-30
icon,,No,110,100,-3.0,270,0.45,7.00,2.00,Toggle,2024-01-02
Icy,,No,109,100,-3.0,270,0.40,7.80,1.80,Toggle,2021-12-30
imatthew55,,No,110,100,-3.0,250,0.35,3.70,1.00,Toggle,2023-10-06
Imminent,MNN,No,110,100,-5.0,270,0.60,4.70,1.10,Toggle,2020-12-03
ImpacT,,No,110,90,-3.0,260,0.40,5.90,1.50,Toggle,2019-02-18
Impoh,,No,110,100,-4.0,270,0.65,4.20,1.40,Toggle,2023-10-08
impressive,,No,110,100,-3.0,270,0.45,7.00,1.50,Toggle,2019-02-25
indigo,,No,110,100,-3.0,270,0.35,4.70,1.30,Toggle,2025-02-23
Inferno,,No,110,90,-4.0,270,0.50,5.00,1.00,Toggle,2023-03-16
Insolences,,No,110,100,-4.0,270,0.45,6.00,1.60,Toggle,2022-07-15
insp1re,,No,110,100,-3.0,270,0.35,5.60,1.90,Toggle,2025-02-17
Inspire,,No,110,90,-3.0,260,0.40,6.00,1.70,Toggle,2024-03-01
instinqt,,No,108,100,-4.0,270,0.35,3.00,1.40,Toggle,2023-03-11
Interlude19,,No,109,100,-3.0,270,0.45,7.20,1.50,Toggle,2025-05-23
Iryzer,,No,110,90,-5.0,270,0.35,5.90,1.50,Toggle,2024-03-04
isRakan,,No,110,100,-5.0,270,0.40,4.20,1.20,Toggle,2024-05-18
itachi,,No,110,110,-3.0,270,0.60,9.00,1.00,Toggle,2024-12-23
itzmarion,CP,No,110,100,-3.0,270,0.40,4.70,1.20,Toggle,2023-10-18
ivan,,No,110,90,-4.0,270,0.35,4.30,1.60,Toggle,2023-07-28
ivn,GER,No,110,90,-5.0,270,0.35,3.00,1.80,Toggle,2022-10-23
